a,d
-6.6277809658523,1.01042781216633
-4.31587980966066,1.02531388158302
4.20741374701333,1.03905602417071
7.9158711176149,1.04128389642273
10.7092389887535,1.2323916045452
-2.44562889926844,1.31791701131373
-0.297191212025949,1.31855738690508
-0.708514810232325,1.36540625405551
-5.12665218300446,1.44029482910686
1.67176510510334,1.44720448946477
8.67595595330701,1.44958324696505
4.65925844087472,1.60987233873631
-0.539582094168514,2.20097711322786
14.8784610285281,2.49951741605772
7.41780705153778,2.66173911728685
-0.267802894180311,2.76497048428415
6.16687176350219,2.90847978202912
7.56591865470865,2.97135551146846
9.69939898536665,3.30375016799543
6.26226512244269,3.31629264786459
1.84694261952452,3.32684988048208
4.86065652672089,3.37307776380794
4.02509192439057,3.40927311186292
2.02729414444496,3.53885704631521
12.7826007538478,3.65354246942592
9.84947655336511,3.67856259907659
7.00510473722832,3.67861008083146
1.76086226230062,3.82582780472515
7.68621034004894,3.8459264632603
1.35522438338857,3.86507602240418
7.29594533020955,3.89795708950369
9.04238274119756,4.09774344139774
12.1283798566872,4.14347800507857
9.0198764447169,4.22945203347672
4.18181373548902,4.2791726713705
4.92603748450665,4.2903585700383
9.08259687352877,4.47150503212864
3.00964625830431,4.5631634809485
4.64401345892679,4.61279957170574
8.97532834300036,4.6188291946872
10.3916323161336,4.77246756806212
17.6398780329921,4.8259843568263
7.27729322584286,4.89144633265787
4.99209830514317,5.36819626155995
11.9160761947734,5.39166375127157
4.43289736725078,5.54277858776315
15.4106816130756,5.57528658073203
11.1934460368049,5.60859970003367
5.9645940640521,5.64076088205438
11.8358571602628,5.79634824180597
10.8108342864751,5.85959616463865
10.3206382522574,6.17110821506926
2.12106752810367,6.24212718422677
12.4509655665712,6.3813061513512
3.25151860587104,6.51475499705547
10.4263883524227,6.71911629420188
11.186394225032,6.8772476296523
21.2194662791114,6.87939935005323
20.0253574859578,6.93009495053381
12.6263762390359,7.00674115377509
14.338167742728,7.36605351447424
9.95684872494044,7.80217509220225
15.2491074133357,7.92043979292578
17.0846098343047,8.03147953502722
11.2921004122058,8.13867118912322
17.1772503224967,8.26246006689117
18.131850370345,8.39113074932265
19.7268606928332,8.418778909125
28.0804406031827,8.45162422186009
20.5206217601303,8.64768169098883
17.0521511922093,8.70701663306455
21.092909382121,8.71291877881879
22.5304801856442,8.71413065798194
21.7800509989225,8.783819236546
18.0952169551284,9.0383632518049
24.946657407267,9.15334486655706
13.1030344954674,9.17887282273463
10.3828106728468,9.41945577266476
23.0348960938753,9.43500463054026
21.4708578063564,9.64890016328449
21.8150344407806,9.66974788526121
25.1825998087082,9.76034581821392
27.5600385309053,9.77340367807438
22.04835911127,9.8239149401155
22.1439753511521,9.87051887122328
13.1131073639132,9.88163466347867
16.3080982392271,9.92815072531158
22.4062388884055,10.0195023843812
18.6244277391105,10.2103917468386
24.4634955099942,10.2392407069175
20.0708610547548,10.2992030419259
16.7058327561243,10.3432913127111
22.0705515065148,10.3770947668647
15.9816874119618,10.3905618424172
16.6486755543675,10.4473469031875
21.7227351768873,10.4623643006443
22.3646263991332,10.4742268636085
20.1338511498012,10.5706829568989
19.5481219327534,10.6197095468737
28.9864395320344,10.7541143150579
