s,y
0,5.02027241977108
0.1,5.98127422130982
0.2,4.81946258544364
0.3,4.62191594063335
0.4,5.85058448372367
0.5,3.7922768125357
0.6,3.10019824471752
0.7,3.24528016382641
0.8,3.16367387192008
0.9,3.39668626742637
1,2.0425707802076
1.1,2.70525246780528
1.2,2.27824640013848
1.3,2.99611255911727
1.4,1.70924004580439
1.5,1.58352980117532
1.6,1.04979326533189
1.7,0.890850366044626
1.8,1.34064721761939
1.9,1.02547229354606
2,1.16313996754567
2.1,0.692256712010976
2.2,1.4514364178907
2.3,0.768487647349359
2.4,0.917695153847001
2.5,0.566614523157513
2.6,0.522698437546822
2.7,0.610800778767443
2.8,0.530851494316286
2.9,0.290521847073244
3,0.23228089063278
3.1,0.239462049745961
3.2,0.196964455300482
3.3,0.277446037703816
3.4,0.217974918043288
3.5,0.19980703165624
3.6,0.134218133742118
3.7,0.230817073592657
3.8,0.188590615921609
3.9,0.145600785965072
4,0.183847997266509
