s,y
1,-10.8100136092674
1,-9.94562565624854
1,-10.5442917946307
1,-10.054424070259
1,-10.9329600015579
1,-12.137322505781
1,-10.9868798832633
1,-10.412086453547
1,-12.799677242142
1,-11.4135521056383
1,-9.42250961937435
1,-9.80787045568062
1,-10.7787330881033
1,-10.6800344541908
1,-10.649226521994
1,-11.1454059374941
1,-12.1480658359827
1,-11.0806675654306
1,-10.7109128120994
1,-9.00864800314047
1,-11.7163243199231
1,-11.8342976771258
1,-11.7078895954771
1,-10.5684184920939
1,-10.7532817121359
1,-11.9736385941813
1,-11.3248537781489
1,-10.5423889320677
1,-9.49094395268956
1,-12.3062677947943
1,-11.9124079684159
1,-9.7964136508775
1,-10.4844299734485
1,-12.1474690265806
1,-10.9989575546137
1,-11.8821353689644
1,-10.5286818708276
1,-12.3700842005823
1,-9.90125744592245
1,-10.3493534221323
1,-10.1205392377845
1,-11.4372747338548
1,-10.1374637641357
1,-11.9514235401675
1,-10.6035716395256
1,-10.5826201138628
1,-9.84687970608061
1,-11.6041321232956
1,-11.1870064290661
1,-10.3575475021791
1,-9.0817661776287
1,-11.233592752204
1,-10.3821773923587
1,-9.82034328604155
1,-8.79475709187488
1,-7.95777452290433
1,-9.64252248031973
1,-9.72525377703907
1,-9.64364133696988
1,-8.87018273161182
1,-9.93663956968335
1,-10.1229768748192
1,-8.71658063848136
1,-9.77317929575725
1,-9.45968214006211
1,-7.73504838618383
1,-10.8140824376629
1,-8.25643945357618
1,-9.94506965287503
1,-10.7164607297937
1,-8.68103379661509
1,-6.02906185049796
1,-10.4857784112814
1,-10.3377498153153
1,-9.63367375056977
1,-7.46911479032489
1,-8.49467574395981
1,-8.70325853450104
1,-5.73439200249196
1,-6.74139422149742
1,-9.07585514888077
1,-7.61058980046514
1,-7.05519213135856
1,-6.10171535390846
1,-5.72412007799383
1,-4.7056437707417
1,-5.25277749882002
1,-6.4300929382402
1,-6.26823316845253
1,-3.3798900748119
1,-3.75303164249624
1,-4.27689403930477
1,-2.85024299623219
1,-3.48132078098392
1,-3.24197568813865
1,-0.547491946819042
1,-1.08659979178478
1,-2.40666468865938
1,-0.471247803154016
1,-1.21723660791128
1,-0.694162198848943
1,-0.19759172683551
1,1.85734731268001
1,1.05897675524481
1,0.58134483233628
1,3.43380497363552
1,2.91210226274663
1,3.55794423552053
1,4.12448525998979
1,4.40108831612807
1,4.64903066667714
1,5.429483845433
1,4.41232455809777
1,7.29950309660375
1,6.16619129133232
1,6.0022508116713
1,6.93652523360581
1,7.09778515477849
1,7.12058199694882
1,5.33943705747091
1,8.83907363840773
1,6.56411574955384
1,7.54550289862081
1,5.65085984915076
1,6.92276303372532
1,8.70280918645058
1,6.99609019889475
1,7.53332886582956
1,7.08164771993284
1,9.76978737388236
1,7.88895791434131
1,7.63560366397572
1,8.58439762281024
1,9.30713697478238
1,9.58590299256882
1,10.9082732985768
1,10.3870838862803
1,7.70599622085081
1,11.5659373083719
1,9.39409333299165
1,10.9805604712686
1,8.83031996913921
1,8.7365045270358
1,10.0494393852042
1,9.71185626027135
1,9.98669715788304
1,11.2392274618311
1,11.2370478189838
1,8.01560284005545
1,8.51194526151007
1,10.4521232582784
1,8.63406442195004
1,11.1443064160638
1,9.41555971645177
1,9.35524055957567
1,9.85008363978234
1,9.42609829808887
1,11.1932280198191
1,8.8378844389896
1,9.5799490395863
1,9.60270342196237
1,11.7588405373725
1,10.6502805763953
1,10.7967359845672
1,10.3972875858882
1,8.94598463692484
1,10.3927834253854
1,9.74207192728575
1,11.3985424056423
1,10.2049076930017
1,12.3692500751529
1,10.6759366038185
1,10.7680876353669
1,11.0655108981336
1,11.1023986361846
1,9.76174960948796
1,9.39935154769038
1,11.6982582693965
1,10.6660086554057
1,12.9986455865815
1,11.6368517662744
1,10.5009887296715
1,10.1392774001418
1,10.7380232425706
1,11.1149316597445
1,11.3372180631048
1,10.8666576428138
1,13.2482127504749
1,10.6953697936492
1,10.0819955735589
1,11.2891592513295
1,10.8836747231706
1,9.35453606703478
1,11.7974575334501
1,10.4992973485248
1,10.8412917558934
1,13.5860742239791
1,11.1960580150583
1,10.8832540305068
1,10.5634226826272
