s,t
7.42681780705629,-0.805427132741118
8.25883224807431,-1.27850029253537
8.72274172606494,-0.384121944120192
7.01933763671641,-0.338738681869775
7.53848430207853,0.222878997758784
7.59060164929441,0.313000194589532
6.4800082559274,0.598976592860768
7.71514939502976,0.416196304562655
6.88279066931375,0.990422311988869
7.82092032399392,1.73324415593517
6.42545755148753,2.39674954425821
6.56537940555041,1.09336211709941
5.5158591793693,2.98482318409376
5.4900645980554,2.65371353750512
4.92554000374345,2.04060294007411
5.40849924565188,1.84188169515031
5.56332118527094,1.64939367377191
4.31664563619323,2.39137971924642
4.5365814117018,1.57424026552318
3.77795005914658,1.60795876649518
3.80261334701028,2.16970084883746
4.08358695661161,1.80760019102848
3.29463805641479,1.873862892986
2.48275023762215,1.48948165050261
2.35926723393239,0.825940973895531
2.51163200133717,0.538492426262263
2.33349959987001,0.944687913581343
1.85487597007885,-0.0534554413021632
2.26366504478712,0.598293971900905
2.72038974233755,0.113098972993739
1.90443786647947,-0.432779228483564
1.90030952384859,-0.873644955418585
0.904354719597605,-0.992313836546279
1.65030413789303,0.290101826739681
1.40296913023404,-1.82284163733651
1.99751261263579,-2.830646650538
2.57251792605649,-1.37001018215617
3.21733454256407,-2.28458539610632
3.52634409021088,-3.15952948437398
2.76376095391469,-1.75463102152656
2.87897104396635,-2.99493227555108
3.6842863020188,-3.30772949096988
3.77429713038989,-4.00364921636746
4.18022806376789,-4.28096285829338
4.4671409127204,-4.73901323782408
3.62746001499835,-4.14405012094451
4.93372439899972,-4.50762422549548
4.91706449867721,-3.67589215020644
4.88237076183906,-4.14730792076428
5.21273938669598,-3.06286205327971
6.49171543272136,-3.12148162639303
5.72906442275606,-3.69543888852948
5.78714083748971,-3.79174582441306
6.77046623260337,-2.92071942269751
7.90946451159471,-3.89154727872631
7.13878653957993,-2.77977162844029
7.48084735365418,-3.22835641130333
7.03501474920359,-2.85221797811024
8.49366652671352,-2.7297077518508
7.84492937915462,-1.83381548619913
8.14556148822644,-2.22729325230718
7.47377120362701,-2.07826811425862
8.41664770017989,-0.97277905780899
